"Rank","Drug","NES","FDR","IntegratedScore","BBB_Score","BBB_Prediction","Max_Phase","MW","LogP","PSA","HBA","HBD","Lipinski_Violations","Pathway_Hits","Clinical_Trials","ChEMBL_ID","Source","Targets"
36,"heptachlor",-1.503,0.219,1.521,0.825,"HIGH BBB Penetration",NA,389.32,4.45,12.53,1,0,0,0,0,"CHEMBL1903207","ChEMBL API",NA
37,"7-DIETHYLAMINO-4-METHYLCOUMARIN",-1.671,0.141,1.512,0.7,"HIGH BBB Penetration",NA,402.45,4.04,70.83,5,0,0,0,0,"CHEMBL3416552","ChEMBL API",NA
38,"econazole",-1.484,0.221,1.492,0.825,"HIGH BBB Penetration",4,381.69,5.8,27.05,3,0,1,0,0,"CHEMBL808","ChEMBL API",NA
39,"mefloquine",-1.483,0.109,1.491,0.825,"HIGH BBB Penetration",NA,378.32,4.45,45.15,3,2,0,0,0,"CHEMBL172","ChEMBL API",NA
40,"trimipramine",-1.645,0.125,1.477,0.7,"HIGH BBB Penetration",4,410.51,4.12,6.48,2,0,0,0,0,"CHEMBL1200948","ChEMBL API",NA
41,"6-Thioguanine",-1.631,0.134,1.458,0.7,"HIGH BBB Penetration",4,167.2,0.6,83.38,4,3,0,0,0,"CHEMBL727","ChEMBL API",NA
42,"propantheline bromide",-1.629,0.177,1.455,0.7,"HIGH BBB Penetration",4,448.4,4.73,35.53,3,0,0,0,0,"CHEMBL1240","ChEMBL API",NA
43,"benzethonium chloride",-1.589,0.198,1.402,0.7,"HIGH BBB Penetration",2,448.09,6.07,18.46,2,0,1,0,0,"CHEMBL221753","ChEMBL API",NA
44,"estropipate",-1.588,0.155,1.401,0.7,"HIGH BBB Penetration",4,436.57,3.29,80.67,4,1,0,0,0,"CHEMBL1200980","ChEMBL API",NA
45,"thioridazine",-1.584,0.0334,1.395,0.7,"HIGH BBB Penetration",4,407.05,5.89,6.48,4,0,1,0,0,"CHEMBL1200916","ChEMBL API",NA
46,"dexverapamil",-1.778,0.108,1.363,0.575,"MODERATE BBB Penetration",2,454.61,5.09,63.95,6,0,1,0,0,"CHEMBL197","ChEMBL API",NA
47,"Escitalopram oxalate",-1.528,0.23,1.323,0.7,"HIGH BBB Penetration",4,414.43,3.81,36.26,3,0,0,0,0,"CHEMBL1200322","ChEMBL API",NA
48,"CP-690334-01",-1.521,0.142,1.314,0.7,"HIGH BBB Penetration",NA,423.55,5,66.84,3,1,1,0,0,"CHEMBL4303229","ChEMBL API",NA
49,"pomiferin",-1.677,0.101,1.248,0.575,"MODERATE BBB Penetration",NA,418.49,5.32,86.99,5,3,1,0,0,"CHEMBL4436688","ChEMBL API",NA
50,"7-aminocephalosporanic acid",-1.671,0.134,1.242,0.575,"MODERATE BBB Penetration",NA,272.28,-0.87,109.93,6,2,0,0,0,"CHEMBL1615585","ChEMBL API",NA
51,"nitrofural",-1.602,0.115,1.166,0.575,"MODERATE BBB Penetration",4,198.14,0.19,123.76,5,2,0,0,0,"CHEMBL869","ChEMBL API",NA
52,"paroxetine",-1.581,0.197,1.143,0.575,"MODERATE BBB Penetration",4,749.68,3.33,39.72,4,1,0,0,0,"CHEMBL6067650","ChEMBL API",NA
53,"astemizole",-1.565,0.101,1.126,0.575,"MODERATE BBB Penetration",4,458.58,5.35,42.32,5,1,1,0,0,"CHEMBL296419","ChEMBL API",NA
54,"Paricalcitol",-1.561,0.177,1.121,0.575,"MODERATE BBB Penetration",4,416.65,5.56,60.69,3,3,1,0,0,"CHEMBL1200622","ChEMBL API",NA
55,"ketoconazole",-1.788,0.0794,1.076,0.45,"LOW BBB Penetration",4,531.44,4.21,69.06,7,0,1,0,0,"CHEMBL295698","ChEMBL API",NA
56,"amiodarone",-1.51,0.225,1.067,0.575,"MODERATE BBB Penetration",4,681.78,6.94,42.68,4,0,2,0,0,"CHEMBL1083993","ChEMBL API",NA
57,"Vandetanib",-1.499,0.167,1.055,0.575,"MODERATE BBB Penetration",NA,459.36,5.3,50.28,5,1,1,0,0,"CHEMBL6054362","ChEMBL API",NA
58,"dacarbazine",-1.493,0.25,1.049,0.575,"MODERATE BBB Penetration",4,182.19,0.07,99.73,4,2,0,0,0,"CHEMBL476","ChEMBL API",NA
59,"terfenadine",-1.487,0.239,1.042,0.575,"MODERATE BBB Penetration",4,471.69,6.45,43.7,3,2,1,0,0,"CHEMBL17157","ChEMBL API",NA
60,"wortmannin",-1.545,0.128,0.96,0.5,"MODERATE BBB Penetration",NA,442.46,2.93,109.11,8,0,0,0,0,"CHEMBL4174555","ChEMBL API",NA
61,"L-citrulline",-1.634,0.122,0.94,0.45,"LOW BBB Penetration",3,175.19,-1.15,118.44,3,4,0,0,0,"CHEMBL444814","ChEMBL API",NA
62,"benserazide",-1.966,0.00815,0.896,0.325,"LOW BBB Penetration",3,257.25,-1.76,148.07,7,7,1,0,0,"CHEMBL1096979","ChEMBL API",NA
63,"ganciclovir",-1.848,0.0254,0.816,0.325,"LOW BBB Penetration",4,277.22,-1.97,139.28,8,4,0,0,0,"CHEMBL1200850","ChEMBL API",NA
64,"635-65-4",-1.671,0.0187,0.81,0.375,"LOW BBB Penetration",NA,455.95,2.64,126.88,4,4,0,0,0,"CHEMBL5796501","ChEMBL API",NA
65,"CHLOROGENIC ACID",-1.802,0.0437,0.786,0.325,"LOW BBB Penetration",2,354.31,-0.65,164.75,8,6,1,0,0,"CHEMBL284616","ChEMBL API",NA
66,"Carfilzomib",-1.979,0.0437,0.696,0.25,"LOW BBB Penetration",4,719.92,2.58,158.47,8,4,1,0,0,"CHEMBL451887","ChEMBL API",NA
67,"Carfilzomib",-1.863,0.0707,0.636,0.25,"LOW BBB Penetration",4,719.92,2.58,158.47,8,4,1,0,0,"CHEMBL451887","ChEMBL API",NA
68,"Bortezomib",-1.786,0.063,0.597,0.25,"LOW BBB Penetration",3,384.25,NA,NA,NA,NA,NA,0,0,"CHEMBL325041","ChEMBL API",NA
69,"Carfilzomib",-1.732,0.0909,0.57,0.25,"LOW BBB Penetration",4,719.92,2.58,158.47,8,4,1,0,0,"CHEMBL451887","ChEMBL API",NA
70,"COBALT",-1.702,0.0125,0.555,0.25,"LOW BBB Penetration",4,129.84,NA,NA,NA,NA,NA,0,0,"CHEMBL1909055","ChEMBL API",NA
71,"MAGNESIUM",-1.688,0.0989,0.548,0.25,"LOW BBB Penetration",4,40.3,NA,NA,NA,NA,NA,0,0,"CHEMBL1200572","ChEMBL API",NA
72,"bromocriptine",-1.816,0.0287,0.489,0.2,"LOW BBB Penetration",NA,691.07,3.19,118.21,6,3,1,0,0,"CHEMBL1255752","ChEMBL API",NA
73,"Cyperquat chloride",-1.493,0.236,0.456,0.25,"LOW BBB Penetration",NA,42.39,NA,NA,NA,NA,NA,0,0,"CHEMBL69710","ChEMBL API",NA
74,"FERROUS",-1.48,0.177,0.45,0.25,"LOW BBB Penetration",4,169.9,NA,NA,NA,NA,NA,0,0,"CHEMBL1200640","ChEMBL API",NA
75,"deferoxamine",-2.387,2.4e-05,0.277,0.075,"LOW BBB Penetration",NA,544.69,0.82,194.4,8,6,2,0,0,"CHEMBL4635234","ChEMBL API",NA
76,"deferoxamine",-2.281,0.000254,0.258,0.075,"LOW BBB Penetration",NA,544.69,0.82,194.4,8,6,2,0,0,"CHEMBL4635234","ChEMBL API",NA
77,"sisomicin",-1.869,0.0325,0.192,0.075,"LOW BBB Penetration",-1,1385.46,-3.85,213.72,12,8,2,0,0,"CHEMBL3989471","ChEMBL API",NA
78,"cefotiam",-1.826,0.0212,0.185,0.075,"LOW BBB Penetration",4,598.56,-0.65,172.46,13,3,2,0,0,"CHEMBL4303232","ChEMBL API",NA
79,"gossypol",-1.557,0.131,0.146,0.075,"LOW BBB Penetration",3,518.56,6.38,155.52,8,6,3,0,0,"CHEMBL51483","ChEMBL API",NA
80,"amphotericin b",-1.533,0.188,0.142,0.075,"LOW BBB Penetration",4,924.09,0.71,319.61,17,12,3,0,0,"CHEMBL267345","ChEMBL API",NA
81,"5109870",-2.04,6.36e-05,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
82,"mesalazine",-1.975,0.00719,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
83,"CP-690334-01",-1.743,0.0214,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
84,"H-7",-1.736,0.0418,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
85,"Tributyltin",-1.733,0.0648,0,0,"LOW BBB Penetration",NA,596.12,NA,NA,NA,NA,NA,0,0,"CHEMBL511667","ChEMBL API",NA
86,"Decabromodiphenyl oxide",-1.728,0.0434,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
87,"Electrocorundum",-1.719,0.0481,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
88,"Toluidine Blue O",-1.711,0.094,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
89,"Cobalt",-1.711,0.094,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
90,"nicotinic acid",-1.679,0.151,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
91,"Osajin",-1.656,0.131,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
92,"diazepam",-1.65,0.122,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
93,"doxorubicin",-1.626,0.109,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
94,"salbutamol",-1.608,0.207,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
95,"taurine",-1.564,0.176,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
96,"Vincristine",-1.542,0.191,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
97,"Ademetionine",-1.529,0.229,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
98,"FERRIC AMMONIUM",-1.505,0.207,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
99,"succinylsulfathiazole",-1.484,0.226,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
100,"0297417-0002B",-1.483,0.185,0,0,"Unknown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Unknown",NA
