sample,fastq_1,fastq_2,strandedness
C2B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/C2B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/C2B_human_R2.fq.gz,auto
IL64B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL64B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL64B_human_R2.fq.gz,auto
IL66B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL66B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL66B_human_R2.fq.gz,auto
IL67B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL67B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL67B_human_R2.fq.gz,auto
IL68B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL68B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL68B_human_R2.fq.gz,auto
IL69B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL69B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/IL69B_human_R2.fq.gz,auto
N168B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/N168B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/N168B_human_R2.fq.gz,auto
N269B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/N269B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/N269B_human_R2.fq.gz,auto
NL70B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/NL70B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/NL70B_human_R2.fq.gz,auto
NL71B,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/NL71B_human_R1.fq.gz,/wsu/home/go/go24/go2432/u251-transcriptomic-evolution/ANALYSIS/sorted_fastqs/NL71B_human_R2.fq.gz,auto
